Target,Model,Feature,mean,std,Importance_CV
Monothalamida,LightGBM,Major_PC1,0.0,0.0,
Monothalamida,LightGBM,Major_PC2,0.0,0.0,
Monothalamida,LightGBM,Organic_PC1,0.0,0.0,
Monothalamida,LightGBM,Organic_PC2,0.0,0.0,
Monothalamida,LightGBM,Sediment_PC1,0.0,0.0,
Monothalamida,LightGBM,Sediment_PC2,0.0,0.0,
Monothalamida,LightGBM,Trace_PC1,0.0,0.0,
Monothalamida,LightGBM,Trace_PC2,0.0,0.0,
Monothalamida,RF,Major_PC1,3146.6033531269372,2344.8992619124815,0.7452160309885381
Monothalamida,RF,Major_PC2,2157.3754772861007,2086.1105767457693,0.9669668533407175
Monothalamida,RF,Organic_PC1,550.823966514961,276.0631877492913,0.5011822370328781
Monothalamida,RF,Organic_PC2,1239.4014827015894,957.5900682985566,0.7726229810628003
Monothalamida,RF,Sediment_PC1,2428.3799869050044,1359.0536561127624,0.559654445943977
Monothalamida,RF,Sediment_PC2,484.22876153700645,275.7954593902489,0.5695561298648132
Monothalamida,RF,Trace_PC1,2045.252733754786,1411.5059713385094,0.6901376773848336
Monothalamida,RF,Trace_PC2,2654.777824696927,1366.3359943298403,0.5146705617393136
Monothalamida,XGBoost,Major_PC1,4139.008605957031,2183.1036273398086,0.5274460227499397
Monothalamida,XGBoost,Major_PC2,1124.3164794921875,1128.3001810494363,1.003543220818971
Monothalamida,XGBoost,Organic_PC1,1301.4784423828125,1052.0034654570713,0.808314168870143
Monothalamida,XGBoost,Organic_PC2,698.8294509887695,891.9493080052623,1.2763476220746688
Monothalamida,XGBoost,Sediment_PC1,4273.977270507812,2300.69203724428,0.5383023567111586
Monothalamida,XGBoost,Sediment_PC2,1793.7221557617188,1895.685897931916,1.0568447804709742
Monothalamida,XGBoost,Trace_PC1,2081.5175018310547,2592.666966120233,1.245565777774885
Monothalamida,XGBoost,Trace_PC2,5131.480310058594,3970.3588467816708,0.7737258270287185
ZOTUs,LightGBM,Major_PC1,0.0,0.0,
ZOTUs,LightGBM,Major_PC2,0.0,0.0,
ZOTUs,LightGBM,Organic_PC1,0.0,0.0,
ZOTUs,LightGBM,Organic_PC2,0.0,0.0,
ZOTUs,LightGBM,Sediment_PC1,0.0,0.0,
ZOTUs,LightGBM,Sediment_PC2,0.0,0.0,
ZOTUs,LightGBM,Trace_PC1,0.0,0.0,
ZOTUs,LightGBM,Trace_PC2,0.0,0.0,
ZOTUs,RF,Major_PC1,150.76679284912643,88.72728764955,0.5885068321267544
ZOTUs,RF,Major_PC2,127.28504810156588,66.86516175840065,0.5253182738717767
ZOTUs,RF,Organic_PC1,88.26409628232109,68.37960972391907,0.7747160238881323
ZOTUs,RF,Organic_PC2,89.03743541456353,41.34756650519957,0.4643840684840357
ZOTUs,RF,Sediment_PC1,72.62195214261915,11.634664481062003,0.16020864405039928
ZOTUs,RF,Sediment_PC2,18.140673449210066,11.387200980615543,0.6277165515655868
ZOTUs,RF,Trace_PC1,69.800653828994,28.443963722708233,0.4075028264404752
ZOTUs,RF,Trace_PC2,96.87086247003232,67.36665687079642,0.6954274500408909
ZOTUs,XGBoost,Major_PC1,237.98190002441407,67.59378435752595,0.28402909780362134
ZOTUs,XGBoost,Major_PC2,310.7071197509766,216.99456359035824,0.6983894149714804
ZOTUs,XGBoost,Organic_PC1,139.60932807922364,148.12218702877036,1.0609762905292113
ZOTUs,XGBoost,Organic_PC2,150.46685409545898,126.79239488153414,0.8426599708205149
ZOTUs,XGBoost,Sediment_PC1,169.7141082763672,47.540356137519844,0.28012023643964706
ZOTUs,XGBoost,Sediment_PC2,69.60307235717774,21.94413856760018,0.31527543001249736
ZOTUs,XGBoost,Trace_PC1,197.32522621154786,180.36282980485288,0.9140383785066083
ZOTUs,XGBoost,Trace_PC2,119.65142440795898,79.01275542690787,0.660357833748046
reads,LightGBM,Major_PC1,0.0,0.0,
reads,LightGBM,Major_PC2,0.0,0.0,
reads,LightGBM,Organic_PC1,0.0,0.0,
reads,LightGBM,Organic_PC2,0.0,0.0,
reads,LightGBM,Sediment_PC1,0.0,0.0,
reads,LightGBM,Sediment_PC2,0.0,0.0,
reads,LightGBM,Trace_PC1,0.0,0.0,
reads,LightGBM,Trace_PC2,0.0,0.0,
reads,RF,Major_PC1,11298.05549069196,7934.818776292877,0.7023172069592041
reads,RF,Major_PC2,8324.005548829064,6891.24400577276,0.8278759505082441
reads,RF,Organic_PC1,2924.2135869351378,3328.0169289236906,1.1380895512532578
reads,RF,Organic_PC2,5106.669441844991,3436.858402828748,0.673013681807265
reads,RF,Sediment_PC1,7882.320999942191,4405.133953026826,0.558862542271386
reads,RF,Sediment_PC2,1595.0367233137843,818.1736713475831,0.5129497392685595
reads,RF,Trace_PC1,7326.55361275215,3603.9479516843035,0.49190221517133137
reads,RF,Trace_PC2,6251.996894423434,2570.7795848040487,0.41119335601351553
reads,XGBoost,Major_PC1,17822.109619140625,9800.294301103455,0.5498952991837799
reads,XGBoost,Major_PC2,5465.815478515625,3755.6529017664107,0.6871166647554574
reads,XGBoost,Organic_PC1,5766.3677734375,3972.796637473491,0.6889599820139796
reads,XGBoost,Organic_PC2,3451.30498046875,2778.4989309470893,0.8050574917808969
reads,XGBoost,Sediment_PC1,13016.407861328125,6151.528637932549,0.472598024237455
reads,XGBoost,Sediment_PC2,5844.613452148437,6083.540014263157,1.0408797885558867
reads,XGBoost,Trace_PC1,9457.79990234375,5673.791684475567,0.5999060820761853
reads,XGBoost,Trace_PC2,13546.864233398437,12627.611098305833,0.9321427365584518
