,,alpha,alpha,Fold,Fold,max_depth,max_depth,min_samples_leaf,min_samples_leaf,min_samples_split,min_samples_split,n_estimators,n_estimators,learning_rate,learning_rate
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Model,Target,,,,,,,,,,,,,,
LightGBM,Miliolida,,,1.0,1.0,3.0,0.0,,,,,100.0,0.0,0.05000000000000001,0.0
LightGBM,Monothalamida,,,1.0,1.0,3.0,0.0,,,,,100.0,0.0,0.05000000000000001,0.0
LightGBM,Other,,,1.0,1.0,3.0,0.0,,,,,100.0,0.0,0.05000000000000001,0.0
LightGBM,Rotaliida,,,1.0,1.0,3.0,0.0,,,,,100.0,0.0,0.05000000000000001,0.0
LightGBM,Textulariida,,,1.0,1.0,3.0,0.0,,,,,100.0,0.0,0.05000000000000001,0.0
LightGBM,reads,,,1.0,1.0,3.0,0.0,,,,,100.0,0.0,0.05000000000000001,0.0
LightGBM,shannon,,,1.0,1.0,3.0,0.0,,,,,100.0,0.0,0.05000000000000001,0.0
LightGBM,simpson,,,1.0,1.0,3.0,0.0,,,,,100.0,0.0,0.05000000000000001,0.0
LightGBM,zotu,,,1.0,1.0,3.0,0.0,,,,,100.0,0.0,0.05000000000000001,0.0
RF,Miliolida,,,1.0,1.0,3.0,0.0,1.0,0.0,3.0,1.7320508075688772,300.0,173.20508075688772,,
RF,Monothalamida,,,1.0,1.0,3.6666666666666665,1.1547005383792515,1.3333333333333333,0.5773502691896257,3.0,1.7320508075688772,400.0,173.20508075688772,,
RF,Other,,,1.0,1.0,3.0,0.0,1.3333333333333333,0.5773502691896257,3.0,1.7320508075688772,200.0,0.0,,
RF,Rotaliida,,,1.0,1.0,4.333333333333333,1.1547005383792515,1.0,0.0,3.0,1.7320508075688772,200.0,0.0,,
RF,Textulariida,,,1.0,1.0,3.0,0.0,1.6666666666666667,0.5773502691896257,3.0,1.7320508075688772,400.0,173.20508075688772,,
RF,reads,,,1.0,1.0,3.0,0.0,1.3333333333333333,0.5773502691896257,3.0,1.7320508075688772,200.0,0.0,,
RF,shannon,,,1.0,1.0,3.6666666666666665,1.1547005383792515,1.6666666666666667,0.5773502691896258,4.0,1.7320508075688772,300.0,173.20508075688772,,
RF,simpson,,,1.0,1.0,3.0,0.0,2.0,0.0,4.0,1.7320508075688772,300.0,173.20508075688772,,
RF,zotu,,,1.0,1.0,3.0,0.0,1.0,0.0,3.0,1.7320508075688772,300.0,173.20508075688772,,
Ridge,Miliolida,100.0,0.0,1.0,1.0,,,,,,,,,,
Ridge,Monothalamida,100.0,0.0,1.0,1.0,,,,,,,,,,
Ridge,Other,100.0,0.0,1.0,1.0,,,,,,,,,,
Ridge,Rotaliida,100.0,0.0,1.0,1.0,,,,,,,,,,
Ridge,Textulariida,100.0,0.0,1.0,1.0,,,,,,,,,,
Ridge,reads,100.0,0.0,1.0,1.0,,,,,,,,,,
Ridge,shannon,100.0,0.0,1.0,1.0,,,,,,,,,,
Ridge,simpson,100.0,0.0,1.0,1.0,,,,,,,,,,
Ridge,zotu,100.0,0.0,1.0,1.0,,,,,,,,,,
XGBoost,Miliolida,,,1.0,1.0,3.0,0.0,,,,,400.0,173.20508075688772,0.05000000000000001,0.0
XGBoost,Monothalamida,,,1.0,1.0,3.6666666666666665,1.1547005383792515,,,,,500.0,0.0,0.05000000000000001,0.0
XGBoost,Other,,,1.0,1.0,3.6666666666666665,1.1547005383792517,,,,,300.0,173.20508075688772,0.05000000000000001,0.0
XGBoost,Rotaliida,,,1.0,1.0,3.0,0.0,,,,,400.0,173.20508075688772,0.08333333333333333,0.028867513459481284
XGBoost,Textulariida,,,1.0,1.0,3.6666666666666665,1.1547005383792515,,,,,200.0,0.0,0.06666666666666667,0.02886751345948129
XGBoost,reads,,,1.0,1.0,3.0,0.0,,,,,400.0,173.20508075688772,0.10000000000000002,0.0
XGBoost,shannon,,,1.0,1.0,3.6666666666666665,1.1547005383792517,,,,,200.0,0.0,0.06666666666666667,0.02886751345948129
XGBoost,simpson,,,1.0,1.0,3.6666666666666665,1.1547005383792515,,,,,200.0,0.0,0.08333333333333333,0.02886751345948129
XGBoost,zotu,,,1.0,1.0,3.0,0.0,,,,,300.0,173.20508075688772,0.06666666666666667,0.02886751345948129
