Feature,VIF
Grain Size,1632.0411499207053
Sorting,827.7888711456688
Skewness,171.2566869801939
Kurtosis,107.19752871249453
Clay Content,inf
Silt Content,inf
Sand Content,inf
Chlorophyll a,4.39236498772549
N,90.61894936718635
C,81.3558948404257
S1,11.432020962211443
TOC,3.392415269599154
Na2O,14.347901743488713
MgO,72.42466558377954
Al2O3,21.66984903184461
SiO2,671.3418348175634
P,136.60785128016406
S2,19.00408086130596
Cl,608.4454827132766
K2O,181.77183132863806
CaO,114.41989367130454
Fe2O3,120.27902286465898
Sc,3.352472855799708
Ti,104.63904670457211
V,20.886634448426328
Cr,13.178895703872989
Mn,193.9034974471708
Co,18.567802579564304
Ni,253.2131396977222
Cu,61.41154137593809
Zn,35.9014484649961
Ga,14.999046417847948
As,44.18449026953894
Rb,35.16383661120436
Depth,4.1516337004522725
