Target,Fold,BestLam,CV_R2,EDOF
reads,0,0.1,-6.922300307626045,7.784628665633252
reads,1,0.1,-2.182927638065408,12.731725672369658
reads,2,0.1,-0.38926832834726904,12.996419399985475
zotu,0,0.1,-2.8162043729393305,7.784628665633252
zotu,1,0.1,-0.08925788826874337,12.731725672369658
zotu,2,0.1,-0.07007794313200347,12.996419399985475
shannon,0,0.1,-0.5479448962302453,7.784628665633252
shannon,1,0.1,-0.14968877839760375,12.731725672369658
shannon,2,0.1,-0.616083243473225,12.996419399985475
simpson,0,0.1,-1.2396621258463643,7.784628665633252
simpson,1,0.1,-0.22047008369827786,12.731725672369658
simpson,2,0.1,-0.4168762944154222,12.996419399985475
Rotaliida,0,0.1,-4.878614138987356,7.784628665633252
Rotaliida,1,0.1,-0.45700115793675467,12.731725672369658
Rotaliida,2,0.1,-0.4789999757553975,12.996419399985475
Textulariida,0,0.1,-33.45272866674784,7.784628665633252
Textulariida,1,0.1,-0.6702073726229447,12.731725672369658
Textulariida,2,0.1,-0.6935294058759287,12.996419399985475
Monothalamida,0,0.1,-12.414092534078499,7.784628665633252
Monothalamida,1,0.1,-1.582724629424898,12.731725672369658
Monothalamida,2,0.1,-0.3754607039706973,12.996419399985475
Miliolida,0,0.1,-10.175520150685056,7.784628665633252
Miliolida,1,0.1,-0.6795872005500085,12.731725672369658
Miliolida,2,0.1,-0.32051506738211544,12.996419399985475
Other,0,0.1,-2.5701905007113885,7.784628665633252
Other,1,0.1,-2.180174726744818,12.731725672369658
Other,2,0.1,-0.4013384715876033,12.996419399985475
