Target,Model,R2_Mean,R2_SD
reads,Linear,-5.305512644148552,7.115139635014677
reads,Ridge,-1.7963399321459002,2.435735550356009
reads,RF,-1.252429541511201,2.528687852215985
reads,XGBoost,-0.5264266014099122,0.5247131924479311
reads,LightGBM,-0.9787488958874914,1.358778730538043
reads,GAM,-1.7468629030000553,2.7229019052257337
zotu,Linear,-1.0779086901065575,1.1366254072847326
zotu,Ridge,-0.5191146794949624,0.6005432831322686
zotu,RF,-0.7613939769468765,0.9318414380433406
zotu,XGBoost,-1.3070075750350951,0.793475648614067
zotu,LightGBM,-0.32242590262007914,0.6312010012314578
zotu,GAM,-0.6898011392295313,0.8619550312873593
shannon,Linear,-0.7630762748886298,0.8749200094122358
shannon,Ridge,-0.23047225947378092,0.3243072352596807
shannon,RF,-0.23303512675847732,0.47905552945071
shannon,XGBoost,-0.5427314650944683,0.4984256629619395
shannon,LightGBM,-0.07184077750707844,0.061846329755171875
shannon,GAM,-0.9410257354705127,1.5713993306720728
simpson,Linear,-1.2414073235782102,1.193614212814619
simpson,Ridge,-0.21946428506963866,0.21455878502579565
simpson,RF,-0.5394410029932993,0.5412097690301342
simpson,XGBoost,-0.8043382866572089,0.5211080570023826
simpson,LightGBM,-0.07634772363423785,0.06933329092817309
simpson,GAM,-1.7556002727892586,2.0360342334337584
Rotaliida,Linear,-2.863932556054486,4.212176834872566
Rotaliida,Ridge,-0.993796217185718,1.6784459678181045
Rotaliida,RF,-0.46319262702415764,0.6261764879636572
Rotaliida,XGBoost,-0.3225669741630554,0.39024502270501893
Rotaliida,LightGBM,-0.3861652838266438,0.505450680239997
Rotaliida,GAM,-0.8477123738477397,0.9682382786747434
Textulariida,Linear,-14.786592506408443,27.41475184347191
Textulariida,Ridge,-4.409971569007385,7.750214214365212
Textulariida,RF,-6.937606541334543,8.802565576200562
Textulariida,XGBoost,-0.8132175445556641,0.9983714640916272
Textulariida,LightGBM,-2.585495153633246,4.688430566583551
Textulariida,GAM,-16.005257974799697,18.345143304065235
Monothalamida,Linear,-7.37209444062251,11.37951394329405
Monothalamida,Ridge,-2.3654877114696466,3.573600593261369
Monothalamida,RF,-2.0859546379073772,4.538074082676739
Monothalamida,XGBoost,-0.39152097702026367,0.145860592150627
Monothalamida,LightGBM,-1.4274105422655123,2.3267324129334748
Monothalamida,GAM,-2.8766596997109195,5.253089065684845
Miliolida,Linear,-2.2332999908042197,4.6848251415392514
Miliolida,Ridge,-0.38462324214876004,0.84507367538224
Miliolida,RF,-0.14700443090457133,0.269480573078848
Miliolida,XGBoost,-0.147587788105011,0.11709471348402553
Miliolida,LightGBM,-0.08935465160200211,0.1444278708236793
Miliolida,GAM,-0.9191048597379889,2.323054395890468
Other,Linear,-5.24670076168093,6.989817204640278
Other,Ridge,-1.811072785626871,2.4545758640699886
Other,RF,-1.2828442813239538,2.5110530989971296
Other,XGBoost,-0.6814265489578247,0.5063857946921606
Other,LightGBM,-0.9900146279904476,1.354570234919982
Other,GAM,-1.7171716857235395,2.6682470361541646
